"ID","Longitude","Latitude","Elevation","centroid","ID","Longitude","Latitude","GEOID"
318,-97476599,35520459,0.00,,,,,
10317,-97476579,35522331,0.00,,,,,
319,-97476712,35513598,0.00,,,,,
952,-97476720,35511445,0.00,,,,,
320,-97476740,35508687,0.00,,,,,
591,-97476690,35505409,0.00,,,,,
321,-97477601,35471500,0.00,,,,,
322,-97494719,35471490,0.00,,,,,
323,-97500903,35471615,0.00,,,,,
956,-97504484,35471830,0.00,,,,,
324,-97494483,35489705,0.00,,,,,
10324,-97494482,35489706,0.00,,,,,
325,-97494486,35491100,0.00,,,,,
1072,-97494489,35488920,0.00,,,,,
326,-97587658,35493310,0.00,,,,,
332,-97583383,35493330,0.00,,,,,
327,-97524200,35493300,0.00,,,,,
328,-97527200,35493270,0.00,,,,,
1046,-97530715,35493260,0.00,,,,,
329,-97542499,35493230,0.00,,,,,
985,-97545752,35493250,0.00,,,,,
330,-97569846,35493160,0.00,,,,,
815,-97565287,35493150,0.00,,,,,
331,-97579400,35493330,0.00,,,,,
988,-97583753,35493324,0.00,,,,,
10332,-97583370,35493553,0.00,,,,,
1003,-97578241,35493183,0.00,,,,,
333,-97610000,35493290,0.00,,,,,
334,-97612475,35493280,0.00,,,,,
341,-97615700,35493270,0.00,,,,,
335,-97617884,35493280,0.00,,,,,
1000,-97614343,35493280,0.00,,,,,
336,-97573830,35478690,0.00,,,,,
352,-97583455,35478770,0.00,,,,,
337,-97635717,35486103,0.00,,,,,
997,-97633173,35486070,0.00,,,,,
338,-97536927,35485988,0.00,,,,,
339,-97619413,35486033,0.00,,,,,
1242,-97623523,35486051,0.00,,,,,
340,-97619002,35489795,0.00,,,,,
1015,-97619031,35492790,0.00,,,,,
342,-97608400,35493290,0.00,,,,,
344,-97520935,35493240,0.00,,,,,
1011,-97515473,35493262,0.00,,,,,
345,-97596520,35493310,0.00,,,,,
346,-97590800,35493320,0.00,,,,,
347,-97553613,35493162,0.00,,,,,
348,-97551944,35493178,0.00,,,,,
652,-97546790,35493200,0.00,,,,,
349,-97531655,35493365,0.00,,,,,
784,-97532406,35494314,0.00,,,,,
350,-97510893,35493128,0.00,,,,,
1012,-97508660,35493110,0.00,,,,,
351,-97601080,35453760,0.00,,,,,
595,-97600338,35447945,0.00,,,,,
615,-97587924,35478750,0.00,,,,,
353,-97592359,35478760,0.00,,,,,
971,-97595116,35478761,0.00,,,,,
973,-97610124,35478790,0.00,,,,,
355,-97614648,35478781,0.00,,,,,
356,-97534309,35478761,0.00,,,,,
357,-97511883,35439410,0.00,,,,,
907,-97519939,35439400,0.00,,,,,
1037,-97516160,35439973,0.00,,,,,
358,-97521345,35431731,0.00,,,,,
699,-97521350,35430231,0.00,,,,,
359,-97521358,35428319,0.00,,,,,
626,-97521340,35432384,0.00,,,,,
360,-97521319,35401301,0.00,,,,,
702,-97521288,35398318,0.00,,,,,
361,-97521270,35382941,0.00,,,,,
362,-97521260,35379100,0.00,,,,,
363,-97529816,35363290,0.00,,,,,
1022,-97527663,35363290,0.00,,,,,
364,-97521350,35412192,0.00,,,,,
696,-97521360,35415766,0.00,,,,,
1273,-97521349,35411622,0.00,,,,,
366,-97521360,35424897,0.00,,,,,
367,-97636640,35478987,0.00,,,,,
996,-97636660,35482704,0.00,,,,,
368,-97609862,35493290,0.00,,,,,
1001,-97607706,35493291,0.00,,,,,
369,-97632462,35539137,0.00,,,,,
370,-97631857,35539731,0.00,,,,,
1119,-97629633,35541818,0.00,,,,,
371,-97631436,35546403,0.00,,,,,
372,-97630682,35549579,0.00,,,,,
10014,-97630080,35551100,0.00,,,,,
373,-97623989,35551154,0.00,,,,,
374,-97619020,35549239,0.00,,,,,
375,-97618999,35546632,0.00,,,,,
1120,-97618991,35543057,0.00,,,,,
376,-97618815,35536813,0.00,,,,,
830,-97614340,35536820,0.00,,,,,
377,-97611192,35536820,0.00,,,,,
378,-97605507,35536820,0.00,,,,,
380,-97547349,35529404,0.00,,,,,
834,-97547622,35517383,0.00,,,,,
382,-97547660,35502911,0.00,,,,,
818,-97547660,35505305,0.00,,,,,
383,-97547670,35507887,0.00,,,,,
1110,-97546871,35511488,0.00,,,,,
384,-97546890,35513185,0.00,,,,,
819,-97547537,35515037,0.00,,,,,
386,-97592310,35527617,0.00,,,,,
387,-97619126,35536813,0.00,,,,,
1118,-97624732,35536870,0.00,,,,,
388,-97629305,35536912,0.00,,,,,
827,-97632802,35537197,0.00,,,,,
1064,-97483261,35522242,0.00,,,,,
778,-97485409,35511149,0.00,,,,,
796,-97591943,35608986,0.00,,,,,
392,-97575942,35608659,0.00,,,,,
393,-97571878,35608620,0.00,,,,,
394,-97566991,35608591,0.00,,,,,
395,-97562547,35608570,0.00,,,,,
396,-97558181,35608559,0.00,,,,,
397,-97549380,35601776,0.00,,,,,
398,-97549360,35598238,0.00,,,,,
399,-97549418,35594486,0.00,,,,,
400,-97549339,35590690,0.00,,,,,
401,-97549300,35587304,0.00,,,,,
798,-97549355,35580497,0.00,,,,,
402,-97549074,35580070,0.00,,,,,
799,-97542140,35580120,0.00,,,,,
403,-97534102,35580090,0.00,,,,,
800,-97531338,35572791,0.00,,,,,
405,-97531310,35570217,0.00,,,,,
1126,-97530019,35484617,0.00,,,,,
407,-97521251,35469318,0.00,,,,,
10001,-97519591,35472611,0.00,,,,,
10407,-97521269,35469318,0.00,,,,,
20030,-97520040,35472454,0.00,,,,,
10054,-97519771,35472635,0.00,,,,,
10065,-97519858,35472716,0.00,,,,,
20407,-97521255,35469318,0.00,,,,,
408,-97534210,35497622,0.00,,,,,
1076,-97534209,35500688,0.00,,,,,
1086,-97531365,35554129,0.00,,,,,
410,-97531260,35558569,0.00,,,,,
411,-97531260,35560552,0.00,,,,,
787,-97531261,35563518,0.00,,,,,
412,-97531282,35566652,0.00,,,,,
413,-97531321,35570610,0.00,,,,,
414,-97531350,35574881,0.00,,,,,
415,-97531369,35578238,0.00,,,,,
417,-97549210,35580407,0.00,,,,,
418,-97549310,35584588,0.00,,,,,
788,-97549331,35590054,0.00,,,,,
419,-97549341,35592261,0.00,,,,,
